Drone_X,Drone_Y,Drone_Z,Anchor1_Azimuth,Anchor1_Elevation,Anchor1_RSSI,Anchor2_Azimuth,Anchor2_Elevation,Anchor2_RSSI,Intersection_X,Intersection_Y,Intersection_Z
0.0,-0.6,-0.72,0.0,-50.0,-57,63.0,-1.0,-87,0.18729365773342344,-0.957875805573204,0.3701551366582943
0.0,-0.6,-0.72,0.0,-51.0,-59,63.0,-1.0,-85,0.19245161988324422,-0.9426130874637828,0.3669209416501497
0.0,-0.6,-0.72,0.0,-51.0,-56,64.0,-2.0,-83,0.16753482945119869,-0.9325899377939686,0.4008795979989472
0.0,-0.6,-0.72,0.0,-51.0,-57,64.0,2.0,-83,0.2100152649264666,-0.8538335252197496,0.22731965115113562
0.0,-0.6,-0.72,0.0,-51.0,-57,63.0,2.0,-83,0.22550662375524255,-0.8821431425360556,0.23747955636423032
0.0,-0.6,-0.72,0.0,-51.0,-57,64.0,4.0,-83,0.2322352789932045,-0.8149774063020303,0.14420612292696192
0.0,-0.6,-0.72,0.0,-51.0,-57,65.0,3.0000000000000004,-85,0.2058092482582523,-0.8058991828909541,0.1751158778957935
0.0,-0.6,-0.72,0.0,-51.0,-57,65.0,2.0,-82,0.1950716839047424,-0.8248995684916554,0.2169536589381838
0.0,-0.6,-0.72,0.0,-51.0,-57,66.0,1.0,-87,0.17043313515418368,-0.8139797095155017,0.248765929600293
0.0,-0.6,-0.72,0.0,-51.0,-58,65.0,0.0,-82,0.17412207172962035,-0.8631280756246913,0.30237820685032385
0.0,-0.6,-0.72,0.0,-51.0,-57,64.0,0.0,-88,0.1884338561055361,-0.8930404418172028,0.31285735578241675
0.0,-0.6,-0.72,0.0,-51.0,-58,65.0,-1.0,-85,0.16392106560471853,-0.8823537611533596,0.34597804007763594
0.0,-0.6,-0.72,0.0,-51.0,-58,65.0,2.0,-82,0.1950716839047424,-0.8248995684916554,0.2169536589381838
0.0,-0.6,-0.72,0.0,-51.0,-58,66.0,5.0,-84,0.21251340406440322,-0.7399457824807961,0.0825814716386039
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,5.0,-87,0.19775837913248995,-0.7111566875787109,0.07182224985405045
0.0,-0.6,-0.72,0.0,-51.0,-57,66.0,4.0,-85,0.2017222456463077,-0.7583539365049419,0.12330497734343708
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,2.0,-82,0.16683408297742086,-0.7652796550325928,0.19564339938082817
0.0,-0.6,-0.72,0.0,-51.0,-56,66.0,1.0,-87,0.17043313515418368,-0.8139797095155017,0.248765929600293
0.0,-0.6,-0.72,0.0,-51.0,-57,65.0,0.0,-82,0.17412207172962035,-0.8631280756246913,0.30237820685032385
0.0,-0.6,-0.72,0.0,-51.0,-58,66.0,-3.0000000000000004,-82,0.13143832101300723,-0.8890393221589348,0.4239318958030181
0.0,-0.6,-0.72,0.0,-51.0,-58,67.0,-4.0,-80,0.11055105698347822,-0.874989393507883,0.45774724137881734
0.0,-0.6,-0.72,0.0,-51.0,-58,67.0,-5.0,-83,0.10196621200082867,-0.8934403660780876,0.5033568084795861
0.0,-0.6,-0.72,0.0,-51.0,-59,67.0,-5.0,-86,0.10196621200082867,-0.8934403660780876,0.5033568084795861
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,-1.0,-80,0.13771264983784315,-0.8199057788323976,0.32424415569649434
0.0,-0.6,-0.72,0.0,-51.0,-57,68.0,-2.0,-84,0.11657491469175141,-0.8057877915171969,0.3569359191733767
0.0,-0.6,-0.72,0.0,-51.0,-59,68.0,-3.0000000000000004,-84,0.10790853664151978,-0.8236763911335474,0.40128430969022955
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,-3.0000000000000004,-84,0.11937569159766914,-0.8565812698602309,0.41269443503511266
0.0,-0.6,-0.72,0.0,-51.0,-58,65.0,-2.0,-86,0.15391084159275192,-0.9016515580228968,0.39017817069787386
