drone_x,drone_y,drone_z,peer_mac,avg_real_azimuth,avg_experimental_azimuth,avg_real_elevation,avg_experimental_elevation,mean_azimuth_error,mean_elevation_error
0.6,-0.6,-0.72,20BA36977463,-45.0,-42.30879712746858,-40.315542210772584,-41.22800718132854,2.6912028725314183,0.9124649705559618
0.6,-0.6,-0.72,20BA369AFC6B,75.96375653207352,71.85958904109589,-16.22725402323351,-16.051369863013697,4.104167490977627,1.6313791135673819
1.2,-6.6,-0.72,20BA36977463,-10.304846468766016,-9.492647058823529,-6.126175694914323,16.55514705882353,2.017828775053846,22.681322753737852
1.2,-6.6,-0.72,20BA369AFC6B,15.255118703057775,17.913846153846155,-6.008088186873485,0.56,2.7007384079937116,6.568088186873484
1.2,-6.0,-0.72,20BA36977463,-11.30993247402023,-3.6996587030716723,-6.711115269369334,4.552901023890785,7.610273770948557,11.265988202684218
1.2,-6.0,-0.72,20BA369AFC6B,16.699244233993596,23.094218415417558,-6.55675567408701,22.83083511777302,8.437863253977609,29.38759079186003
1.2,-5.4,-0.72,20BA36977463,-12.528807709151522,-9.79642857142857,-7.415829709624492,7.541071428571429,2.7706360052532535,14.95690113819592
1.2,-5.4,-0.72,20BA369AFC6B,18.434948822921996,-0.3882978723404255,-7.209120586689089,-4.209219858156028,18.84652701858539,3.10605499444092
1.2,-4.8,-0.72,20BA36977463,-14.03624346792651,-9.104667609618105,-8.27964251062289,-3.44978783592645,4.931575858308406,4.838005820262236
1.2,-4.8,-0.72,20BA369AFC6B,20.556045219583467,1.953781512605042,-7.994861271478283,-8.011204481792717,18.602263706978423,1.8055769013445306
1.2,-4.2,-0.72,20BA36977463,-15.945395900922847,-11.529774127310061,-9.360052015333332,-8.178644763860369,4.415621773612785,1.260250945682407
1.2,-4.2,-0.72,20BA369AFC6B,23.198590513648185,4.662207357859532,-8.95434473505222,0.4916387959866221,18.536383155788652,9.445983531038843
1.2,-3.6,-0.72,20BA36977463,-18.434948822922024,-14.812292358803987,-10.743403801775964,-12.483388704318937,3.6226564641180374,1.7399849025429734
1.2,-3.6,-0.72,20BA369AFC6B,26.565051177078004,9.694682675814752,-10.14210615657398,-7.560891938250429,16.87036850126325,2.6165306029585853
1.2,-3.0,-0.72,20BA36977463,-21.801409486351815,-17.661237785016286,-12.562228295302136,-13.750814332247558,4.140171701335529,1.2068996621995625
1.2,-3.0,-0.72,20BA369AFC6B,30.96375653207352,31.221498371335503,-11.62901399521606,-8.646579804560261,1.0797641067063202,2.9921015784026115
1.2,-2.4,-0.72,20BA36977463,-26.565051177077976,-21.920754716981133,-15.020256666513818,-14.794339622641509,4.644296460096844,0.3294370942029242
1.2,-2.4,-0.72,20BA369AFC6B,36.86989764584402,41.55190311418685,-13.495733280795811,-12.866782006920415,4.682005468342831,1.0221397667550496
